Timestamp,FC,Physical activity,Sleep time,Eating outside,money on food per day,BLD,afternoon nap
2023/04/17 10:36:54 PM GMT+5:30,Non-vegetarian,5,6,8,100,Breakfast,Yes
2023/04/17 10:42:22 PM GMT+5:30,Vegetarian + egg,4,9,3,35,Dinner,No
2023/04/17 10:43:23 PM GMT+5:30,Non-vegetarian,4,7,3,20,Breakfast,No
2023/04/17 10:46:47 PM GMT+5:30,Non-vegetarian,0,6,15,100,Lunch,No
2023/04/17 10:47:55 PM GMT+5:30,Non-vegetarian,0,9.5,7,70,Breakfast,No
2023/04/17 10:51:46 PM GMT+5:30,Non-vegetarian,4,5,0,10,Breakfast,Yes
2023/04/17 10:59:24 PM GMT+5:30,Vegetarian,5,7,7,160,Dinner,No
2023/04/17 11:01:37 PM GMT+5:30,Non-vegetarian,9,6,12,30,Breakfast,No
2023/04/17 11:02:17 PM GMT+5:30,Non-vegetarian,10,8,15,60,Breakfast,Yes
2023/04/17 11:04:17 PM GMT+5:30,Non-vegetarian,3,6.5,8,20,Dinner,Yes
2023/04/17 11:04:24 PM GMT+5:30,Non-vegetarian,0,6,6,100,Breakfast,Yes
2023/04/17 11:06:04 PM GMT+5:30,Non-vegetarian,0,8,1,0,Breakfast,No
2023/04/17 11:06:38 PM GMT+5:30,Vegetarian,7,8,10,100,Lunch,No
2023/04/17 11:11:15 PM GMT+5:30,Non-vegetarian,2,8,2,50,Breakfast,Yes
2023/04/17 11:14:09 PM GMT+5:30,Vegetarian,14,8,0,0,Breakfast,Yes
2023/04/17 11:17:58 PM GMT+5:30,Vegetarian,8,8,8,50,Breakfast,Yes
2023/04/17 11:25:53 PM GMT+5:30,Non-vegetarian,9,12,25,5000,Dinner,Yes
2023/04/17 11:36:16 PM GMT+5:30,Vegetarian,9,6,30,100,Lunch,Yes
2023/04/17 11:36:39 PM GMT+5:30,Non-vegetarian,4,10,12,2500,Dinner,Yes
2023/04/17 11:51:27 PM GMT+5:30,Non-vegetarian,2,7,3,30,Lunch,No
2023/04/17 11:53:30 PM GMT+5:30,Non-vegetarian,20,8,2,200,Dinner,Yes
2023/04/18 12:25:26 AM GMT+5:30,Vegetarian,1,8,2,5,Breakfast,No
2023/04/18 12:36:18 AM GMT+5:30,Non-vegetarian,0,8,0,2,Dinner,No
2023/04/18 12:43:05 AM GMT+5:30,Non-vegetarian,7,6,7,250,Lunch,No
2023/04/18 12:43:44 AM GMT+5:30,Non-vegetarian,6,6,6,70,Lunch,Yes
2023/04/18 1:10:19 AM GMT+5:30,Non-vegetarian,0,8,10,200,Dinner,Yes
2023/04/18 1:16:00 AM GMT+5:30,Non-vegetarian,2,6,5,70,Dinner,No
2023/04/18 1:46:20 AM GMT+5:30,Vegetarian,15,6,45,200,Dinner,Yes
2023/04/18 2:47:01 AM GMT+5:30,Vegetarian + egg,4,0,0,10,Breakfast,No
2023/04/18 2:53:57 AM GMT+5:30,Vegetarian,4,5,4,3000,Dinner,Yes
2023/04/18 4:05:20 AM GMT+5:30,Non-vegetarian,2,7,1,20,Breakfast,Yes
2023/04/18 4:37:11 AM GMT+5:30,Non-vegetarian,10,6,10,1000,Breakfast,Yes
2023/04/18 5:02:13 AM GMT+5:30,Vegetarian,10,8,13,100,Breakfast,No
